scope,variable,response,count,percent,denominator
scrum_experienced_N128,organization_industry,Technology,52,40.6,128
scrum_experienced_N128,organization_industry,Education,14,10.9,128
scrum_experienced_N128,organization_industry,"Research, Development, and Innovation",9,7.0,128
scrum_experienced_N128,organization_industry,Financial services,8,6.2,128
scrum_experienced_N128,organization_industry,Professional services,5,3.9,128
scrum_experienced_N128,organization_industry,Telecommunications,5,3.9,128
scrum_experienced_N128,organization_industry,Energy,4,3.1,128
scrum_experienced_N128,organization_industry,Healthcare and pharma,4,3.1,128
scrum_experienced_N128,organization_industry,Government,4,3.1,128
scrum_experienced_N128,organization_industry,Public services,3,2.3,128
scrum_experienced_N128,organization_industry,Transportation,3,2.3,128
scrum_experienced_N128,organization_industry,Utilities,2,1.6,128
scrum_experienced_N128,organization_industry,Consumer products,2,1.6,128
scrum_experienced_N128,organization_industry,Law,1,0.8,128
scrum_experienced_N128,organization_industry,Business Consulting and Services,1,0.8,128
scrum_experienced_N128,organization_industry,Outsourcing,1,0.8,128
scrum_experienced_N128,organization_industry,Media and entertainement,1,0.8,128
scrum_experienced_N128,organization_industry,Manufacturing,1,0.8,128
scrum_experienced_N128,organization_industry,shipping and services,1,0.8,128
scrum_experienced_N128,organization_industry,"Emergency Response, Logistics, and Operations — Mainly in Ocean and Offshore Environments",1,0.8,128
scrum_experienced_N128,organization_industry,OTT,1,0.8,128
scrum_experienced_N128,organization_industry,Consultoria em E-commerce,1,0.8,128
scrum_experienced_N128,organization_industry,Industrial Food,1,0.8,128
scrum_experienced_N128,organization_industry,Indústria Alimentícia,1,0.8,128
scrum_experienced_N128,organization_industry,Non-profit,1,0.8,128
scrum_experienced_N128,organization_industry,Club Management Software,1,0.8,128
