response,count,percent,denominator
GPT-4o,6,7.6,79
GPT-5,4,5.1,79
GPT 5,2,2.5,79
Gpt-4o,2,2.5,79
"GPT-4o, Gemini 2.5 Flash",2,2.5,79
GPT-4o and Gemini-2.5-pro,1,1.3,79
Copilot,1,1.3,79
"z 4.6, deepseek r1, caht gpt 5...",1,1.3,79
"GPT-4o, Gemini 2.5",1,1.3,79
"Claude Sonnet (4.0, 4.5), GPT-4o, GPT-5",1,1.3,79
Claude SONNET 4.5,1,1.3,79
"GPT5, Claude 4.1, Gemini 2.5 PRO",1,1.3,79
Gpt 40,1,1.3,79
"Gpt-4o, Gemini 2.5 Flash",1,1.3,79
GPT-5o,1,1.3,79
Latest in each,1,1.3,79
Gpt 4-o,1,1.3,79
5,1,1.3,79
"GPT-5o, Gemini 2.5 PRO",1,1.3,79
"GPT-5, Gemini Pro",1,1.3,79
"GPT-4o, Gemini 2.5 Flash, Gemini 2.5 Pro, Sonnet 4.5, llama3.1",1,1.3,79
"Gemini 2.5 pro, GPT 4, Claude 3.5",1,1.3,79
Gemini 2.5 pro,1,1.3,79
"GPT-4o, Gemini 2.5 Pro, Manus 1.5",1,1.3,79
"Gemini 2.5 Flash, Manus 1.5 Lite",1,1.3,79
"GPT-4o, GPT-5, Gemini 2.5 Pro, Gemini 2.5 Flash.",1,1.3,79
"GPT-5o, Copilot 365",1,1.3,79
ChatGPT 4.0 - Copilot 365,1,1.3,79
Qwen3-Max,1,1.3,79
GPT-4,1,1.3,79
GPT-5.1,1,1.3,79
"GPT-5.1, Gemini 2.5 Flash e Sonnet 4.5",1,1.3,79
Gpt-4,1,1.3,79
ChatGPT 5 and Gemini 2.5 PRO,1,1.3,79
M365 Copilot,1,1.3,79
Gemini 2.5 Flash,1,1.3,79
5 for gpt and plus in gemini,1,1.3,79
GPT-5 and Claude 4.5 mostly for Code,1,1.3,79
gpt5.0,1,1.3,79
