category,activity,currently_mostly_count,currently_partially_count,current_total_count,current_total_percent,plan_mostly_count,plan_partially_count,plan_total_count,plan_total_percent,dont_plan_count,dont_plan_percent,denominator
Exploring and learning Scrum practices,"Clarify Scrum concepts and roles (e.g., understanding Sprint events, accountabilities, or artifacts.)",21,23,44,55.7,6,16,22,27.8,13,16.5,79
Exploring and learning Scrum practices,"Explore practices and techniques (e.g., estimation methods, refinement approaches, facilitation patterns.)",13,33,46,58.2,8,17,25,31.6,8,10.1,79
Exploring and learning Scrum practices,"Get practical resources and examples (e.g., recommended tools, sample templates, or checklists to implement practices.)",18,27,45,57.0,10,18,28,35.4,6,7.6,79
Exploring and learning Scrum practices,"Simulate conversations to create learning or practice scenarios for others – e.g., generating realistic role-play cases or Q&A dialogues to use in training sessions or workshops you lead.",11,25,36,45.6,3,24,27,34.2,16,20.3,79
Exploring and learning Scrum practices,"Simulate conversations to coach or mentor team members – e.g., helping a developer or Product Owner adopt Scrum values, improve backlog management, or grow in their role.",8,22,30,38.0,11,22,33,41.8,16,20.3,79
Scrum artifacts,Define candidate non-functional requirements,16,28,44,55.7,8,15,23,29.1,12,15.2,79
Scrum artifacts,"Write candidate Product Backlog items (e.g., from requirements document or product vision)",17,22,39,49.4,9,21,30,38.0,10,12.7,79
Scrum artifacts,Define how to split Product Backlog items to fit a Sprint,12,18,30,38.0,13,20,33,41.8,16,20.3,79
Scrum artifacts,Evaluate the quality of a Product Backlog item description,14,26,40,50.6,17,14,31,39.2,8,10.1,79
Scrum artifacts,Improve the description of a Product Backlog item,22,27,49,62.0,12,15,27,34.2,3,3.8,79
Scrum artifacts,Define the acceptance criteria for a Product Backlog item,22,18,40,50.6,13,16,29,36.7,10,12.7,79
Scrum artifacts,Improve the acceptance criteria of a Product Backlog item,22,21,43,54.4,12,18,30,38.0,6,7.6,79
Scrum artifacts,Identify dependencies within a Product Backlog,14,16,30,38.0,14,22,36,45.6,13,16.5,79
Scrum artifacts,"Estimate effort/size (e.g., story point, ideal hours, t-shirt sizing) of a Product Backlog item",9,22,31,39.2,13,17,30,38.0,18,22.8,79
Scrum artifacts,"Estimate the value (e.g., ROI, desirability, cost of delay) of a Product Backlog item",12,18,30,38.0,11,21,32,40.5,17,21.5,79
Scrum artifacts,Define the next Product Goal,11,15,26,32.9,10,23,33,41.8,20,25.3,79
Scrum artifacts,Evaluate the quality of a Product Goal (according to the team’s criteria or commonly accepted best practices),12,15,27,34.2,15,15,30,38.0,22,27.8,79
Scrum artifacts,Improve the Product Goal (according to the team’s criteria or commonly accepted best practices),14,16,30,38.0,15,18,33,41.8,16,20.3,79
Scrum artifacts,Define the Definition of Done criteria,13,16,29,36.7,12,21,33,41.8,17,21.5,79
Scrum artifacts,Improve the Definition of Done criteria,17,22,39,49.4,12,16,28,35.4,12,15.2,79
Scrum artifacts,Define the Sprint Goal of a target Sprint,13,16,29,36.7,12,15,27,34.2,23,29.1,79
Scrum artifacts,Evaluate the quality of a Sprint Goal (according to the team’s criteria or commonly accepted best practices),15,14,29,36.7,11,19,30,38.0,20,25.3,79
Scrum artifacts,Improve the Sprint Goal (according to the team’s criteria or commonly accepted best practices),16,16,32,40.5,14,15,29,36.7,18,22.8,79
Scrum artifacts,"Define the technical tasks for a Product Backlog item (i.e., decompose the Product Backlog item into smaller work items)",17,17,34,43.0,15,18,33,41.8,12,15.2,79
Scrum artifacts,Estimate technical task effort/size,12,18,30,38.0,13,16,29,36.7,20,25.3,79
Scrum events,"Design the event agenda (i.e., the sequence of activities and minutes per activity) and timeboxes for Sprint events (e.g., Sprint Review, Sprint Planning, Sprint Retrospective)",15,26,41,51.9,6,18,24,30.4,14,17.7,79
Scrum events,"Capture/Identify action items and owners of Events (e.g., Sprint Review, Sprint Planning, Sprint Retrospective)",15,20,35,44.3,12,20,32,40.5,12,15.2,79
Scrum events,Identify recurring themes or impediments from event notes,13,14,27,34.2,7,28,35,44.3,17,21.5,79
Scrum events,"Summarize what happened during an Event (e.g., Sprint Review, Sprint Planning, Sprint Retrospective) given notes, audio recordings, or video recordings",21,26,47,59.5,12,12,24,30.4,8,10.1,79
Scrum events,Summarize Sprint Review stakeholder feedback and follow-up actions,18,26,44,55.7,11,14,25,31.6,10,12.7,79
Other agile management tasks,Define possible impediment mitigation options,11,22,33,41.8,4,24,28,35.4,18,22.8,79
Other agile management tasks,"Summarize impediment data (e.g., count, status, owner, resolution progress) into a concise report.",9,21,30,38.0,9,23,32,40.5,17,21.5,79
Other agile management tasks,Evaluate the quality of a product roadmap,10,15,25,31.6,10,27,37,46.8,17,21.5,79
Other agile management tasks,Improve the product roadmap,11,22,33,41.8,13,21,34,43.0,12,15.2,79
Other agile management tasks,Summarize the product roadmap for stakeholders,14,25,39,49.4,10,17,27,34.2,13,16.5,79
Other agile management tasks,Describe the product vision,13,18,31,39.2,6,22,28,35.4,20,25.3,79
Other agile management tasks,Improve the product vision,14,25,39,49.4,8,16,24,30.4,16,20.3,79
Other agile management tasks,Identify project/product risks,12,22,34,43.0,7,23,30,38.0,15,19.0,79
Other agile management tasks,Identify possible mitigation strategies for risk items,12,27,39,49.4,7,18,25,31.6,15,19.0,79
Other agile management tasks,Summarize key risks for stakeholders,15,25,40,50.6,8,18,26,32.9,13,16.5,79
Other agile management tasks,"Interpret burndown, burnup, or CFD charts",11,19,30,38.0,6,21,27,34.2,22,27.8,79
Other agile management tasks,"Define corrective actions (e.g., limit WIP, improve QA, breakdown items, start a spike) given metrics analysis (e.g., velocity, burndown)",12,17,29,36.7,10,21,31,39.2,19,24.1,79
Other agile management tasks,Summarize Sprint or release progress,12,24,36,45.6,8,19,27,34.2,16,20.3,79
Other agile management tasks,Define the team working agreement,11,17,28,35.4,5,20,25,31.6,26,32.9,79
Other agile management tasks,Improve the team working agreements,11,27,38,48.1,7,17,24,30.4,17,21.5,79
