risk,response,count,percent,denominator
Reduced understanding of processes (less deep understanding of processes),Strongly disagree,2,2.5,79
Reduced understanding of processes (less deep understanding of processes),Disagree,9,11.4,79
Reduced understanding of processes (less deep understanding of processes),Neutral,17,21.5,79
Reduced understanding of processes (less deep understanding of processes),Agree,29,36.7,79
Reduced understanding of processes (less deep understanding of processes),Strongly agree,22,27.8,79
Reduced accountability (difficulty in assigning responsibility),Strongly disagree,3,3.8,79
Reduced accountability (difficulty in assigning responsibility),Disagree,11,13.9,79
Reduced accountability (difficulty in assigning responsibility),Neutral,25,31.6,79
Reduced accountability (difficulty in assigning responsibility),Agree,23,29.1,79
Reduced accountability (difficulty in assigning responsibility),Strongly agree,17,21.5,79
Reduced trust (distrust in AI outputs or human–AI collaboration),Strongly disagree,3,3.8,79
Reduced trust (distrust in AI outputs or human–AI collaboration),Disagree,8,10.1,79
Reduced trust (distrust in AI outputs or human–AI collaboration),Neutral,23,29.1,79
Reduced trust (distrust in AI outputs or human–AI collaboration),Agree,32,40.5,79
Reduced trust (distrust in AI outputs or human–AI collaboration),Strongly agree,13,16.5,79
Reduced motivation (reduced engagement of team members when delegating to AI),Strongly disagree,3,3.8,79
Reduced motivation (reduced engagement of team members when delegating to AI),Disagree,13,16.5,79
Reduced motivation (reduced engagement of team members when delegating to AI),Neutral,22,27.8,79
Reduced motivation (reduced engagement of team members when delegating to AI),Agree,29,36.7,79
Reduced motivation (reduced engagement of team members when delegating to AI),Strongly agree,12,15.2,79
